doy,neg_anom_count,pos_anom_count,total_valid
0,432488,165537,54444893
1,68676,253535,29727553
2,2213217,543130,35769495
4,18147,986836,55372431
5,23135,865298,23635578
6,84674,639436,34961920
7,12044,34345,9263751
8,8304793,121247,40108088
9,10352,357478,21740016
10,2348353,337818,54883614
11,195036,487683,38881241
12,320828,382335,49148086
13,3194422,205663,28762539
14,864822,1171830,101729536
15,6409141,337542,48695565
16,26298,235948,25742029
17,122109,169116,35746912
18,27149549,580070,101364570
19,52671,90130,44247997
20,2557806,20698,19557619
21,459508,463481,59958355
22,350,3039,4118837
23,2900550,458172,52575451
24,1060175,952435,114883964
25,217667,832321,58695854
26,279808,139693,44432728
27,108,11227,563563
28,1119246,948292,117076517
29,879982,78893,31244646
30,277318,413935,37006290
31,130591,73046,16149370
32,63640,441707,27356177
33,169723,1366837,115085833
34,5991455,919878,76615214
35,86763,613217,76267768
36,3389319,340405,69271405
37,6624,35184,7209928
38,1079760,2065376,131588153
39,1142015,371488,79045420
40,237177,719903,96048555
41,5684,16755,12946266
42,143040,119635,9373937
43,3306936,1095247,134512943
44,994484,536420,91001370
45,1061841,724000,90689109
46,516299,315941,63655983
47,101469,104922,32858554
48,449735,108434,37850111
49,1041266,150502,83719621
50,326684,782231,133660989
51,389500,389927,92862309
52,10205,23965,14333377
53,505367,712451,156000711
54,203058,263672,73573433
55,278542,557072,106322753
56,141225,75172,48281370
57,12038,46771,8518468
58,85644,628264,121235395
60,93304,1510405,96517069
61,170986,216512,64139792
62,135704,260548,78189724
63,34091,686578,117033455
64,24752,379093,57223261
65,57917,1118189,115261241
66,187374,99852,25808996
67,140816,129820,58481981
68,368035,450621,125425550
69,17960,18650,18949076
70,1557658,59812,67535827
71,21302,339724,25279507
72,11370,30163,7645499
73,1146283,513524,121143940
74,306924,206715,140571075
75,187431,1964,11862961
76,49370,160751,50704594
77,24593,95589,13391412
78,1043434,508744,163372608
79,87715,140020,110208871
80,259483,1187261,142817072
81,968422,233313,108894760
82,73123,86878,20322785
83,3023025,357917,152368640
84,199650,250460,104287432
85,45791,487751,61467538
86,2294801,455858,138082590
87,20666,3857,12369272
88,196049,177192,83069812
89,170378,522762,103251214
90,127673,206275,68085485
91,1492374,552704,129580271
92,403774,202568,94732760
93,5231487,441777,177549100
94,7069370,922702,172206201
95,3003943,1677430,192452218
96,582294,1367090,191660511
97,439572,331602,91927927
98,1834544,325245,96791729
99,83022,89181,70298432
100,890517,571905,84805409
101,175264,413859,76187134
102,63671,101999,9454862
103,4155046,1150091,219535440
104,710145,429214,126012602
105,568198,595578,56154275
106,1205175,95184,122671537
107,313333,71142,20859751
108,1538852,1110230,133930612
109,4118065,1760141,207239310
110,1414460,46016,62350659
111,1555431,119151,94047207
112,279277,37396,35089979
113,1347501,48616,81930805
114,3769594,153827,126779624
115,2582733,320769,55761429
116,356026,7002,50463921
117,434186,56935,70522487
118,1631266,1995174,41922786
119,7795216,803147,265010159
120,2551694,113740,41706717
121,330026,63498,7519340
122,16744,29708,5084158
123,6232942,41650,80565323
124,605049,29729,93634929
125,3464454,23350,16197460
126,7677111,10360,67466179
127,115564,796,11192961
128,13032673,104688,83532261
129,2121647,269804,216131544
130,957101,220879,109553844
131,707154,1613,32054584
132,2019744,2047,22705342
133,1674457,31605,64464269
134,1704579,61091,49062052
135,237545,2163,22202451
136,1117951,12339,20056949
137,777380,22758,57608675
138,2199745,196127,47361514
139,471980,3123,74928394
140,1757847,475514,46208792
141,211570,117,3682093
142,290680,614,6714895
143,78905,1342,3452221
144,2695858,4178,103176507
145,1718045,48646,90674828
146,6619816,3098,62361390
147,213019,39,8377281
148,3285014,202629,124383985
149,13947919,98805,335301434
150,2439809,122990,79584072
151,6055128,68953,129194646
152,146724,31055,16488854
153,807435,20314,55881339
154,11529243,4391,138309906
155,1226683,31906,47807136
156,74104,5744,6902464
157,152057,603,7778088
158,3018453,189380,52077011
159,2475424,83696,166970156
160,3073210,7588,106242424
161,167066,129,17768103
162,5482751,6646,96819797
163,3257889,196308,171308791
164,1995461,21991,104072797
165,4394055,72402,119746744
166,6193332,16992,112853913
167,2027172,6127,93613233
168,12960771,69032,197337639
169,5624068,67077,350039010
170,1936301,13912,90977596
171,2255203,1349,42153945
172,1139537,3974,104337579
173,3213910,108330,128886832
174,6537964,1738,162331818
175,2158466,17757,158473267
176,5472131,34916,188225330
177,194162,2062,15312174
178,2145103,260736,64493107
179,4026927,9253,204583091
180,1589016,1943,23498704
181,3808583,1763,130975026
182,1788001,17826,97316254
183,3203369,3821,101129960
184,3332429,8709,148027896
185,2851874,1981,88467865
186,2883383,61714,91552382
187,156858,91,13867069
188,2339682,3692,177513984
189,11595900,114635,203879388
190,4830720,22625,179911777
191,1189950,436,46734809
192,3863786,5855,63582765
193,8193242,6408,122706767
194,12721960,3510,133628129
195,1902644,12409,99583925
196,2378238,780,107179053
197,2326314,15197,65211230
198,5479806,34399,206355798
199,14292701,55864,195133313
200,10997569,17257,194771344
201,2925922,43,30037182
202,2847524,21149,46844282
203,7868572,2819,167566022
204,7124394,21478,106433213
205,4387864,9476,88868006
206,5596739,17911,106033779
207,2837447,495,60394000
208,5082704,2301,100157304
209,2841454,3886,147627440
210,3255820,18210,79253957
211,2776292,768,66289964
212,1789764,391,36490219
213,3268165,2397,101362447
214,6192792,19098,136829158
215,2323592,15302,63705217
216,7774122,18283,127099383
217,13261502,243006,119470202
218,985621,3659,84475963
219,9254071,10157,248750150
220,7092741,13706,158054927
221,1193138,576,17930318
222,5296737,13304,185065073
223,5632212,2248,196689859
224,4831302,5094,99507351
225,8485860,94252,115114803
226,2197372,4424,66771830
227,3720229,24144,99561651
228,9415875,49116,49292203
229,6840548,43752,243820822
230,10046813,36364,111283589
231,2874490,661,65081030
232,1925727,2261,39183751
233,4305939,14310,147855341
234,13967540,8245,147440633
235,17595992,48459,153024709
236,9103202,42375,123895249
237,329925,5549,16774601
238,3561207,38147,86593512
239,7384015,7173,182544002
240,5173006,5589,60613723
241,1361438,496,68382287
242,21966309,185993,148613642
243,8381171,34068,175236266
245,19255987,1210107,121003859
246,3868569,104587,122383649
247,133356,1698,8090910
248,3004537,22754,153740197
249,1295219,55207,45727064
250,4557308,289454,174224544
251,2954476,36034,96817464
252,1635202,790,10363193
253,27760302,119897,218453388
254,5790116,167076,154455674
255,13991186,15850,163881945
256,10197511,3896,51489888
257,3419785,52545,65317351
258,4432952,18223,80441056
259,6761613,27056,127668609
260,5451662,77620,130604215
261,2418645,48523,85705110
262,1052836,2073,72604123
263,4831745,23294,124355203
264,8234901,6944,26049218
265,24358048,293837,70919323
266,1616739,129340,64751849
267,95759,3154,9997524
268,562445,179497,83159654
269,2543955,1173159,113326505
270,6766893,62105,90361281
271,3509438,321020,80672204
272,5910646,50522,35794849
273,4151636,175640,153665759
274,1419157,170620,32016651
275,1431130,128540,58078630
276,5286752,366802,63051301
277,317244,57832,27151553
278,12723200,73850,122512609
279,1856028,45009,79850210
280,1962538,16456,109071266
281,1913010,325421,54234733
282,238339,2954,10161524
283,20793770,77253,184672596
284,5773893,363485,113351000
285,5326604,66483,101758161
286,187298,26399,46386966
287,156720,1628,8433444
288,3366177,321717,179408392
289,6491525,95669,116311995
290,1056334,130149,117999669
291,2911111,111613,55525337
292,267406,1012,7150515
293,37223,6564,18143791
294,316398,91999,65357306
295,257014,44593,50977316
296,54425,1096,7074885
297,826434,16821,43333690
298,209785,26274,72911811
299,5901948,5336,46050912
300,4880111,139970,132357191
301,314853,1250,7650448
302,191339,11134,50482214
303,3529729,56909,102250471
304,377752,106979,88920784
305,1333349,15809,39947926
306,114535,749474,49571694
307,63380,64989,42074423
308,2205867,203911,23676272
309,635169,3432,17837597
310,3276797,446907,71086060
311,20576,20514,9368905
312,1219854,5108,27704054
313,1877979,145599,60673284
314,131377,176763,52657172
315,186565,107112,76107768
316,691862,52708,24138230
317,93671,88009,31557524
318,605884,82813,49081243
319,1057017,640600,85946541
320,1047336,207852,36193428
321,441365,109763,22163532
322,20193,9862,4163457
323,37691,229684,52451430
325,147116,584274,34461536
326,15465,3461,2522819
327,2676,41145,5633731
328,12829,519711,36671274
330,31296,1136107,63599158
331,693131,98837,26565827
332,25236,441575,36606398
333,7161,611556,17775830
334,18399,356942,31728602
336,465462,224919,38547819
337,53,406,3206881
339,249845,738256,81579459
340,1351143,1488559,69944990
341,51337,98278,30172154
343,355040,62610,15626238
344,254407,374378,45615281
345,1096443,522345,22229479
346,3052159,600647,70719232
347,75,12590,388226
348,924677,611668,63381983
349,54175,1020742,39789377
350,4194328,1527203,94048055
351,238683,229662,38660357
352,2026,50839,6938949
353,155692,589972,26915180
354,231223,92350,21602376
355,183426,627822,25870542
356,1265340,282627,22386413
357,3584379,74573,29613796
358,29440,665374,39199049
359,876161,551146,67329739
360,426169,141481,48244025
361,201141,259223,37514787
362,1336245,388871,45471545
363,148649,126973,54357752
364,1096697,706890,68155758
